Date Time, URL, First Contentful Paint, First Interactive
2020-06-05T15:57:05.216Z,https://www.petsmart.com/,3.5 s,39.5 s
2020-06-05T16:01:11.191Z,https://www.petsmart.com/,3.5 s,39.0 s
2020-06-06T00:56:44.469Z,https://www.petsmart.com/,3.5 s,38.0 s
2020-06-06T01:03:30.822Z,https://www.petsmart.com/,3.5 s,38.3 s
